#번호,설치목적구분,카메라대수,카메라화소수,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
57,생활방범,2,,,,02-2094-0284,37.60174942,127.0934067,2020-05-06
58,생활방범,2,,,,02-2094-0284,37.60387421,127.0874786,2020-05-06
59,생활방범,2,,,,02-2094-0284,37.6000824,127.0878448,2020-05-06
60,생활방범,3,,,,02-2094-0284,37.60207748,127.0875549,2020-05-06
61,생활방범,4,,,,02-2094-0284,37.60569382,127.0927429,2020-05-06
62,생활방범,2,,,,02-2094-0284,37.60328674,127.0932465,2020-05-06
63,생활방범,2,,,,02-2094-0284,37.59498505,127.0850017,2020-05-06
64,생활방범,3,,,,02-2094-0284,37.59307982,127.0824238,2020-05-06
65,생활방범,5,,,,02-2094-0284,37.59270096,127.0747528,2020-05-06
66,생활방범,3,,,,02-2094-0284,37.59457017,127.0921061,2020-05-06
67,생활방범,4,,,,02-2094-0284,37.59415158,127.0894051,2020-05-06
68,생활방범,4,,,,02-2094-0284,37.59466792,127.0900529,2020-05-06
69,생활방범,5,,,,02-2094-0284,37.59301758,127.0849762,2020-05-06
70,생활방범,4,,,,02-2094-0284,37.5940782,127.0817626,2020-05-06
71,생활방범,3,,,,02-2094-0284,37.59370041,127.0853653,2020-05-06
72,생활방범,3,,,,02-2094-0284,37.59444046,127.0810623,2020-05-06
73,생활방범,3,,,,02-2094-0284,37.59279672,127.0836989,2020-05-06
74,생활방범,3,,,,02-2094-0284,37.59227371,127.0815125,2020-05-06
75,생활방범,1,,,,02-2094-0284,37.59209061,127.082016,2020-05-06
76,생활방범,2,,,,02-2094-0284,37.59289169,127.0814972,2020-05-06
77,생활방범,3,,,,02-2094-0284,37.59314731,127.084235,2020-05-06
78,생활방범,4,,,,02-2094-0284,37.59501114,127.0828974,2020-05-06
79,생활방범,4,,,,02-2094-0284,37.59505463,127.0880356,2020-05-06
80,생활방범,4,,,,02-2094-0284,37.5935936,127.0881577,2020-05-06
81,생활방범,5,,,,02-2094-0284,37.59577942,127.0881729,2020-05-06
82,생활방범,3,,,,02-2094-0284,37.59408058,127.0796319,2020-05-06
83,생활방범,5,,,,02-2094-0284,37.5929184,127.0782166,2020-05-06
84,생활방범,4,,,,02-2094-0284,37.59520275,127.089267,2020-05-06
85,생활방범,2,,,,02-2094-0284,37.59434201,127.0882678,2020-05-06
86,생활방범,3,,,,02-2094-0284,37.59455835,127.0867817,2020-05-06
87,생활방범,4,,,,02-2094-0284,37.59535356,127.0842558,2020-05-06
88,생활방범,1,,,,02-2094-0284,37.59475327,127.0819702,2020-05-06
89,생활방범,3,,,,02-2094-0284,37.5934805,127.0749782,2020-05-06
90,생활방범,1,,,,02-2094-0284,37.5933609,127.0810013,2020-05-06
91,생활방범,4,,,,02-2094-0284,37.59636688,127.0879822,2020-05-06
92,생활방범,2,,,,02-2094-0284,37.59397888,127.0834198,2020-05-06
93,생활방범,2,,,,02-2094-0284,37.59202576,127.080925,2020-05-06
94,생활방범,1,,,,02-2094-0284,37.61350675,127.1054068,2020-05-06
95,생활방범,2,,,,02-2094-0284,37.60139084,127.0996933,2020-05-06
96,생활방범,4,,,,02-2094-0284,37.6058964,127.0979713,2020-05-06
97,생활방범,4,,,,02-2094-0284,37.60741043,127.0995865,2020-05-06
98,생활방범,4,,,,02-2094-0284,37.60694504,127.0971375,2020-05-06
99,생활방범,4,,,,02-2094-0284,37.60490799,127.0988922,2020-05-06
100,생활방범,4,,,,02-2094-0284,37.60054016,127.0985413,2020-05-06
101,생활방범,2,,,,02-2094-0284,37.60127258,127.0978317,2020-05-06
102,생활방범,3,,,,02-2094-0284,37.61044312,127.095932,2020-05-06
103,생활방범,4,,,,02-2094-0284,37.61459732,127.1007996,2020-05-06
104,생활방범,1,,,,02-2094-0284,37.60843996,127.0971965,2020-05-06
105,생활방범,1,,,,02-2094-0284,37.6083815,127.0988815,2020-05-06
106,생활방범,3,,,,02-2094-0284,37.61711378,127.1015406,2020-05-06
107,생활방범,4,,,,02-2094-0284,37.60227648,127.0968602,2020-05-06
108,생활방범,4,,,,02-2094-0284,37.61724763,127.1089852,2020-05-06
109,생활방범,1,,,,02-2094-0284,37.61658062,127.0934168,2020-05-06
110,생활방범,3,,,,02-2094-0284,37.62044144,127.1062469,2020-05-06
111,생활방범,2,,,,02-2094-0284,37.60064697,127.0989838,2020-05-06
112,생활방범,2,,,,02-2094-0284,37.60323715,127.0986328,2020-05-06
113,생활방범,3,,,,02-2094-0284,37.60242844,127.0995789,2020-05-06
114,생활방범,3,,,,02-2094-0284,37.60259876,127.0973476,2020-05-06
115,생활방범,2,,,,02-2094-0284,37.60170364,127.0986557,2020-05-06
116,생활방범,3,,,,02-2094-0284,37.60502625,127.0966873,2020-05-06
117,생활방범,2,,,,02-2094-0284,37.61782455,127.1011887,2020-05-06
118,생활방범,5,,,,02-2094-0284,37.6065729,127.0919046,2020-05-06
119,생활방범,5,,,,02-2094-0284,37.60250467,127.0949572,2020-05-06
120,생활방범,4,,,,02-2094-0284,37.603665,127.0954812,2020-05-06
121,생활방범,1,,,,02-2094-0284,37.61224033,127.0971116,2020-05-06
122,생활방범,1,,,,02-2094-0284,37.61717606,127.1099319,2020-05-06
123,생활방범,1,,,,02-2094-0284,37.61703491,127.1105042,2020-05-06
124,생활방범,3,,,,02-2094-0284,37.61730194,127.1112061,2020-05-06
125,생활방범,1,,,,02-2094-0284,37.61655807,127.109024,2020-05-06
126,생활방범,1,,,,02-2094-0284,37.61590958,127.1078644,2020-05-06
127,생활방범,1,,,,02-2094-0284,37.61457062,127.1122131,2020-05-06
128,생활방범,1,,,,02-2094-0284,37.61353683,127.11129,2020-05-06
129,생활방범,1,,,,02-2094-0284,37.61392995,127.0983043,2020-05-06
130,생활방범,1,,,,02-2094-0284,37.61338806,127.0942078,2020-05-06
131,생활방범,1,,,,02-2094-0284,37.60791865,127.0923038,2020-05-06
132,생활방범,1,,,,02-2094-0284,37.61382294,127.0886002,2020-05-06
133,생활방범,1,,,,02-2094-0284,37.61423492,127.089188,2020-05-06
134,생활방범,1,,,,02-2094-0284,37.61302986,127.0887959,2020-05-06
135,생활방범,2,,,,02-2094-0284,37.61572715,127.0913353,2020-05-06
136,생활방범,1,,,,02-2094-0284,37.60845817,127.0941408,2020-05-06
137,생활방범,4,,,,02-2094-0284,37.61263845,127.0887777,2020-05-06
138,생활방범,2,,,,02-2094-0284,37.60824966,127.0926056,2020-05-06
139,생활방범,3,,,,02-2094-0284,37.61926342,127.1108557,2020-05-06
140,생활방범,3,,,,02-2094-0284,37.61907959,127.1115646,2020-05-06
141,생활방범,3,,,,02-2094-0284,37.60892105,127.0815659,2020-05-06
142,생활방범,2,,,,02-2094-0284,37.60949326,127.0812225,2020-05-06
143,생활방범,3,,,,02-2094-0284,37.60925674,127.0815582,2020-05-06
144,생활방범,2,,,,02-2094-0284,37.58862686,127.0872269,2020-05-06
145,생활방범,2,,,,02-2094-0284,37.58883734,127.0871257,2020-05-06
146,생활방범,2,,,,02-2094-0284,37.58880083,127.0869409,2020-05-06
147,생활방범,2,,,,02-2094-0284,37.58877232,127.0868043,2020-05-06
148,생활방범,4,,,,02-2094-0284,37.59874895,127.0826786,2020-05-06
149,생활방범,4,,,,02-2094-0284,37.59971619,127.081832,2020-05-06
150,생활방범,3,,,,02-2094-0284,37.60456056,127.0821337,2020-05-06
151,생활방범,4,,,,02-2094-0284,37.60587192,127.0832542,2020-05-06
152,생활방범,1,,,,02-2094-0284,37.60273743,127.0834885,2020-05-06
153,생활방범,3,,,,02-2094-0284,37.60437034,127.0809627,2020-05-06
154,생활방범,3,,,,02-2094-0284,37.60026169,127.0829163,2020-05-06
155,생활방범,1,,,,02-2094-0284,37.60046387,127.085083,2020-05-06
156,생활방범,3,,,,02-2094-0284,37.60005987,127.0737691,2020-05-06
157,생활방범,6,,,,02-2094-0284,37.59851795,127.0764471,2020-05-06
158,생활방범,4,,,,02-2094-0284,37.60058751,127.0787329,2020-05-06
159,생활방범,4,,,,02-2094-0284,37.60255432,127.0958099,2020-05-06
160,생활방범,3,,,,02-2094-0284,37.61347961,127.0912247,2020-05-06
161,생활방범,2,,,,02-2094-0284,37.60355759,127.0947418,2020-05-06
162,생활방범,3,,,,02-2094-0284,37.59220294,127.0760023,2020-05-06
163,생활방범,2,,,,02-2094-0284,37.59380186,127.1027397,2020-05-06
164,생활방범,2,,,,02-2094-0284,37.5913006,127.0970897,2020-05-06
165,생활방범,2,,,,02-2094-0284,37.60042235,127.1048187,2020-05-06
166,생활방범,2,,,,02-2094-0284,37.60080488,127.1059869,2020-05-06
167,생활방범,2,,,,02-2094-0284,37.59997064,127.1069956,2020-05-06
168,생활방범,2,,,,02-2094-0284,37.59914866,127.102665,2020-05-06
169,생활방범,2,,,,02-2094-0284,37.60261043,127.1010143,2020-05-06
170,생활방범,3,,,,02-2094-0284,37.59086199,127.0754111,2020-05-06
171,생활방범,3,,,,02-2094-0284,37.58988478,127.0760724,2020-05-06
172,생활방범,2,,,,02-2094-0284,37.5919684,127.0835279,2020-05-06
173,생활방범,2,,,,02-2094-0284,37.58552556,127.096624,2020-05-06
174,생활방범,2,,,,02-2094-0284,37.57151298,127.0827117,2020-05-06
175,생활방범,2,,,,02-2094-0284,37.57172504,127.0862751,2020-05-06
176,생활방범,2,,,,02-2094-0284,37.57450094,127.0876029,2020-05-06
177,생활방범,2,,,,02-2094-0284,37.57959592,127.0844602,2020-05-06
178,생활방범,4,,,,02-2094-0284,37.58051073,127.0864165,2020-05-06
179,생활방범,3,,,,02-2094-0284,37.58006836,127.0908408,2020-05-06
180,생활방범,4,,,,02-2094-0284,37.578228,127.0818634,2020-05-06
181,생활방범,3,,,,02-2094-0284,37.58889379,127.0893987,2020-05-06
182,생활방범,2,,,,02-2094-0284,37.58969582,127.0903377,2020-05-06
183,생활방범,2,,,,02-2094-0284,37.58598705,127.0884172,2020-05-06
184,생활방범,2,,,,02-2094-0284,37.58455236,127.0892755,2020-05-06
185,생활방범,7,,,,02-2094-0284,37.58703732,127.0893161,2020-05-06
186,생활방범,2,,,,02-2094-0284,37.61122478,127.0813521,2020-05-06
187,생활방범,2,,,,02-2094-0284,37.61436459,127.0817458,2020-05-06
188,생활방범,2,,,,02-2094-0284,37.60904694,127.0796127,2020-05-06
189,생활방범,2,,,,02-2094-0284,37.60680938,127.0782726,2020-05-06
190,생활방범,2,,,,02-2094-0284,37.60796319,127.0756635,2020-05-06
191,생활방범,2,,,,02-2094-0284,37.60875308,127.0747187,2020-05-06
192,생활방범,4,,,,02-2094-0284,37.59992106,127.0894701,2020-05-06
193,생활방범,2,,,,02-2094-0284,37.61722767,127.1006182,2020-05-06
194,생활방범,2,,,,02-2094-0284,37.59528783,127.0766841,2020-05-06
195,생활방범,2,,,,02-2094-0284,37.5912547,127.1030409,2020-05-06
196,생활방범,2,,,,02-2094-0284,37.59633001,127.0709051,2020-05-06
197,생활방범,2,,,,02-2094-0284,37.59448765,127.0732567,2020-05-06
198,생활방범,2,,,,02-2094-0284,37.59379962,127.0714586,2020-05-06
199,생활방범,3,,,,02-2094-0284,37.59598872,127.078216,2020-05-06
200,생활방범,3,,,,02-2094-0284,37.60266179,127.0865344,2020-05-06
201,생활방범,2,,,,02-2094-0284,37.59270064,127.0798847,2020-05-06
202,생활방범,2,,,,02-2094-0284,37.59348348,127.0776224,2020-05-06
203,생활방범,2,,,,02-2094-0284,37.57472307,127.0858298,2020-05-06
204,생활방범,3,,,,02-2094-0284,37.58694084,127.0916091,2020-05-06
205,생활방범,2,,,,02-2094-0284,37.61149979,127.0795898,2020-05-06
206,생활방범,4,,,,02-2094-0284,37.60070664,127.0929965,2020-05-06
207,생활방범,3,,,,02-2094-0284,37.61616775,127.0858008,2020-05-06
208,생활방범,1,,,,02-2094-0284,37.60662727,127.0766907,2020-05-06
209,생활방범,4,,,,02-2094-0284,37.58805506,127.0744996,2020-05-06
210,생활방범,4,,,,02-2094-0284,37.59135971,127.0799652,2020-05-06
211,생활방범,3,,,,02-2094-0284,37.59839516,127.1040852,2020-05-06
212,생활방범,3,,,,02-2094-0284,37.60496805,127.100657,2020-05-06
213,생활방범,2,,,,02-2094-0284,37.60403604,127.0805286,2020-05-06
214,생활방범,2,,,,02-2094-0284,37.60109107,127.0857995,2020-05-06
215,생활방범,1,,,,02-2094-0284,37.60383606,127.0849228,2020-05-06
216,생활방범,5,,,,02-2094-0284,37.59804026,127.0774879,2020-05-06
217,생활방범,1,,,,02-2094-0284,37.59571075,127.0731735,2020-05-06
218,생활방범,1,,,,02-2094-0284,37.59926605,127.0737381,2020-05-06
219,생활방범,1,,,,02-2094-0284,37.60439957,127.0748926,2020-05-06
220,생활방범,1,,,,02-2094-0284,37.61140615,127.0790982,2020-05-06
221,생활방범,3,,,,02-2094-0284,37.61489105,127.084671,2020-05-06
222,생활방범,1,,,,02-2094-0284,37.61703873,127.0881424,2020-05-06
223,생활방범,1,,,,02-2094-0284,37.61668777,127.0848541,2020-05-06
224,생활방범,2,,,,02-2094-0284,37.61109821,127.075023,2020-05-06
225,생활방범,2,,,,02-2094-0284,37.59042384,127.0891135,2020-05-06
226,생활방범,1,,,,02-2094-0284,37.59153366,127.0925064,2020-05-06
227,생활방범,2,,,,02-2094-0284,37.5858078,127.0914493,2020-05-06
228,생활방범,1,,,,02-2094-0284,37.58950043,127.0859146,2020-05-06
229,생활방범,1,,,,02-2094-0284,37.58801744,127.093401,2020-05-06
230,생활방범,3,,,,02-2094-0284,37.58893585,127.0873108,2020-05-06
231,생활방범,1,,,,02-2094-0284,37.59004974,127.0833588,2020-05-06
232,생활방범,1,,,,02-2094-0284,37.58867645,127.080925,2020-05-06
233,생활방범,1,,,,02-2094-0284,37.58796692,127.0769119,2020-05-06
234,생활방범,1,,,,02-2094-0284,37.57304374,127.0831953,2020-05-06
235,생활방범,3,,,,02-2094-0284,37.57507523,127.0893936,2020-05-06
236,생활방범,2,,,,02-2094-0284,37.57397023,127.0893741,2020-05-06
237,생활방범,2,,,,02-2094-0284,37.57299805,127.0915451,2020-05-06
238,생활방범,2,,,,02-2094-0284,37.57302096,127.0913011,2020-05-06
239,생활방범,1,,,,02-2094-0284,37.58475736,127.0782255,2020-05-06
240,생활방범,1,,,,02-2094-0284,37.58564097,127.0819588,2020-05-06
241,생활방범,1,,,,02-2094-0284,37.57703781,127.0844955,2020-05-06
242,생활방범,2,,,,02-2094-0284,37.57999219,127.0950668,2020-05-06
243,생활방범,1,,,,02-2094-0284,37.57985605,127.0977554,2020-05-06
244,생활방범,2,,,,02-2094-0284,37.58788045,127.0986776,2020-05-06
245,생활방범,1,,,,02-2094-0284,37.58359528,127.0873108,2020-05-06
246,생활방범,1,,,,02-2094-0284,37.58921162,127.0958122,2020-05-06
247,생활방범,2,,,,02-2094-0284,37.58904367,127.1024835,2020-05-06
248,생활방범,2,,,,02-2094-0284,37.58756806,127.0989214,2020-05-06
249,생활방범,1,,,,02-2094-0284,37.58703966,127.1003183,2020-05-06
250,생활방범,1,,,,02-2094-0284,37.58663452,127.1011374,2020-05-06
251,생활방범,3,,,,02-2094-0284,37.60250582,127.102688,2020-05-06
252,생활방범,2,,,,02-2094-0284,37.59904099,127.1033249,2020-05-06
253,생활방범,1,,,,02-2094-0284,37.5976194,127.0965156,2020-05-06
254,생활방범,1,,,,02-2094-0284,37.60233307,127.1036301,2020-05-06
255,생활방범,3,,,,02-2094-0284,37.60366821,127.1100616,2020-05-06
256,생활방범,1,,,,02-2094-0284,37.59358215,127.100647,2020-05-06
257,생활방범,1,,,,02-2094-0284,37.59363174,127.0951538,2020-05-06
258,생활방범,1,,,,02-2094-0284,37.59218597,127.095108,2020-05-06
259,생활방범,2,,,,02-2094-0284,37.59131037,127.1039494,2020-05-06
260,생활방범,2,,,,02-2094-0284,37.58941436,127.1025137,2020-05-06
261,생활방범,2,,,,02-2094-0284,37.58770752,127.0887375,2020-05-06
262,생활방범,1,,,,02-2094-0284,37.59102249,127.0898132,2020-05-06
263,생활방범,1,,,,02-2094-0284,37.59012985,127.0854568,2020-05-06
264,생활방범,5,,,,02-2094-0284,37.58861754,127.0919368,2020-05-06
265,생활방범,3,,,,02-2094-0284,37.58626175,127.0924606,2020-05-06
266,생활방범,1,,,,02-2094-0284,37.58823395,127.0938416,2020-05-06
267,생활방범,4,,,,02-2094-0284,37.5852623,127.0938187,2020-05-06
268,생활방범,1,,,,02-2094-0284,37.58612823,127.0939713,2020-05-06
269,생활방범,1,,,,02-2094-0284,37.5928457,127.0897413,2020-05-06
270,생활방범,4,,,,02-2094-0284,37.58525085,127.0889511,2020-05-06
271,생활방범,3,,,,02-2094-0284,37.58703183,127.0874546,2020-05-06
272,생활방범,1,,,,02-2094-0284,37.59269675,127.092849,2020-05-06
273,생활방범,2,,,,02-2094-0284,37.58498484,127.0844649,2020-05-06
274,생활방범,4,,,,02-2094-0284,37.58433533,127.0912323,2020-05-06
275,생활방범,3,,,,02-2094-0284,37.58653259,127.0901947,2020-05-06
276,생활방범,1,,,,02-2094-0284,37.59169724,127.091216,2020-05-06
277,생활방범,4,,,,02-2094-0284,37.58587646,127.0859451,2020-05-06
278,생활방범,1,,,,02-2094-0284,37.59243461,127.0881651,2020-05-06
279,생활방범,4,,,,02-2094-0284,37.58842087,127.0901871,2020-05-06
280,생활방범,2,,,,02-2094-0284,37.58727264,127.0845642,2020-05-06
281,생활방범,4,,,,02-2094-0284,37.5843544,127.0869293,2020-05-06
282,생활방범,1,,,,02-2094-0284,37.59181016,127.0921184,2020-05-06
283,생활방범,3,,,,02-2094-0284,37.58440018,127.0860977,2020-05-06
284,생활방범,3,,,,02-2094-0284,37.58426666,127.0877838,2020-05-06
285,생활방범,1,,,,02-2094-0284,37.59101868,127.091095,2020-05-06
286,생활방범,5,,,,02-2094-0284,37.58863704,127.0860095,2020-05-06
287,생활방범,1,,,,02-2094-0284,37.59381126,127.0927863,2020-05-06
288,생활방범,3,,,,02-2094-0284,37.58770008,127.0926933,2020-05-06
289,생활방범,3,,,,02-2094-0284,37.59024794,127.0862819,2020-05-06
290,생활방범,3,,,,02-2094-0284,37.5918826,127.0926498,2020-05-06
291,생활방범,1,,,,02-2094-0284,37.59050129,127.0917005,2020-05-06
292,생활방범,2,,,,02-2094-0284,37.589737,127.086763,2020-05-06
293,생활방범,1,,,,02-2094-0284,37.59027729,127.0879836,2020-05-06
294,생활방범,4,,,,02-2094-0284,37.58587574,127.0914494,2020-05-06
295,생활방범,1,,,,02-2094-0284,37.58734131,127.0921478,2020-05-06
296,생활방범,3,,,,02-2094-0284,37.58662415,127.0887222,2020-05-06
297,생활방범,1,,,,02-2094-0284,37.58724213,127.0937271,2020-05-06
298,생활방범,4,,,,02-2094-0284,37.6035194,127.0829697,2020-05-06
299,생활방범,1,,,,02-2094-0284,37.60107825,127.0853121,2020-05-06
300,생활방범,2,,,,02-2094-0284,37.60183162,127.0861195,2020-05-06
301,생활방범,4,,,,02-2094-0284,37.604227,127.0803417,2020-05-06
302,생활방범,4,,,,02-2094-0284,37.60065842,127.0837479,2020-05-06
303,생활방범,1,,,,02-2094-0284,37.59883499,127.0812988,2020-05-06
304,생활방범,8,,,,02-2094-0284,37.59141159,127.0988464,2020-05-06
305,생활방범,4,,,,02-2094-0284,37.6070137,127.0913086,2020-05-06
306,생활방범,1,,,,02-2094-0284,37.60343182,127.0898614,2020-05-06
307,생활방범,1,,,,02-2094-0284,37.59329526,127.082433,2020-05-06
308,생활방범,1,,,,02-2094-0284,37.59183076,127.0739006,2020-05-06
309,생활방범,1,,,,02-2094-0284,37.59501681,127.0848338,2020-05-06
310,생활방범,1,,,,02-2094-0284,37.60460254,127.0978188,2020-05-06
311,생활방범,3,,,,02-2094-0284,37.60866928,127.0872498,2020-05-06
312,생활방범,3,,,,02-2094-0284,37.61091232,127.0941467,2020-05-06
313,생활방범,2,,,,02-2094-0284,37.59318193,127.1016675,2020-05-06
314,생활방범,1,,,,02-2094-0284,37.58972168,127.1009903,2020-05-06
315,생활방범,5,,,,02-2094-0284,37.59446335,127.0971527,2020-05-06
316,생활방범,4,,,,02-2094-0284,37.59167357,127.0981754,2020-05-06
317,생활방범,4,,,,02-2094-0284,37.59030533,127.099556,2020-05-06
318,생활방범,2,,,,02-2094-0284,37.59363174,127.0949783,2020-05-06
319,생활방범,2,,,,02-2094-0284,37.59244919,127.0982819,2020-05-06
320,생활방범,2,,,,02-2094-0284,37.59022734,127.1004945,2020-05-06
321,생활방범,3,,,,02-2094-0284,37.59165192,127.1002197,2020-05-06
322,생활방범,2,,,,02-2094-0284,37.59450912,127.0953293,2020-05-06
323,생활방범,1,,,,02-2094-0284,37.5990671,127.0864953,2020-05-06
324,생활방범,1,,,,02-2094-0284,37.600793,127.0883653,2020-05-06
325,생활방범,2,,,,02-2094-0284,37.59760733,127.0852728,2020-05-06
326,생활방범,4,,,,02-2094-0284,37.60187426,127.0914743,2020-05-06
327,생활방범,2,,,,02-2094-0284,37.59921462,127.0943852,2020-05-06
328,생활방범,4,,,,02-2094-0284,37.60045242,127.0912476,2020-05-06
329,생활방범,3,,,,02-2094-0284,37.59699631,127.0842896,2020-05-06
330,생활방범,3,,,,02-2094-0284,37.59897488,127.0927687,2020-05-06
331,생활방범,2,,,,02-2094-0284,37.59993362,127.0952301,2020-05-06
332,생활방범,6,,,,02-2094-0284,37.59835662,127.0877687,2020-05-06
333,생활방범,1,,,,02-2094-0284,37.60031891,127.086586,2020-05-06
334,생활방범,4,,,,02-2094-0284,37.60198975,127.0890198,2020-05-06
335,생활방범,3,,,,02-2094-0284,37.60055972,127.0902278,2020-05-06
336,생활방범,3,,,,02-2094-0284,37.59635544,127.0840149,2020-05-06
337,생활방범,1,,,,02-2094-0284,37.59683228,127.083931,2020-05-06
338,생활방범,1,,,,02-2094-0284,37.60046005,127.0919342,2020-05-06
339,생활방범,3,,,,02-2094-0284,37.59765244,127.0883636,2020-05-06
340,생활방범,3,,,,02-2094-0284,37.59991821,127.0907752,2020-05-06
341,생활방범,1,,,,02-2094-0284,37.60171127,127.0870819,2020-05-06
342,생활방범,3,,,,02-2094-0284,37.60166931,127.0884094,2020-05-06
343,생활방범,3,,,,02-2094-0284,37.60419083,127.0924149,2020-05-06
344,생활방범,3,,,,02-2094-0284,37.60457993,127.0900345,2020-05-06
345,생활방범,2,,,,02-2094-0284,37.59836786,127.0829846,2020-05-06
346,생활방범,3,,,,02-2094-0284,37.59848404,127.0870972,2020-05-06
347,생활방범,3,,,,02-2094-0284,37.6007576,127.0824661,2020-05-06
348,생활방범,4,,,,02-2094-0284,37.60316849,127.0798798,2020-05-06
349,생활방범,1,,,,02-2094-0284,37.60238266,127.0819168,2020-05-06
350,생활방범,4,,,,02-2094-0284,37.59902573,127.0837021,2020-05-06
351,생활방범,3,,,,02-2094-0284,37.60666275,127.0817947,2020-05-06
352,생활방범,4,,,,02-2094-0284,37.6036644,127.0857315,2020-05-06
353,생활방범,4,,,,02-2094-0284,37.6030389,127.0819989,2020-05-06
354,생활방범,3,,,,02-2094-0284,37.60204315,127.0811462,2020-05-06
355,생활방범,2,,,,02-2094-0284,37.60137859,127.0833063,2020-05-06
356,생활방범,2,,,,02-2094-0284,37.60486065,127.0802276,2020-05-06
